Task;ExecutionTime (seconds);Items Processed;TimePerItem (seconds);Comment
Create Collections;1.6287307739257812;;;
Graph Analysis;8.078967809677124;;;
Class Tree Generation;22.517253637313843;37;0.6085744226301039;
Void stats generation;0.05823063850402832;37;0.001573801040649414;
HTML Generation;2050.6369779109955;59512;0.03445753760436543;
Finalize Classtree;0.027053117752075195;;;
NonNS Pages;3.5346436500549316;329;0.010743597720531708;
Index Page Creation;266.85641837120056;;;
CKAN API Generation;0.10312199592590332;;;
Solid API Generation;55.766823530197144;;;
OGC API Features Generation;10.629720449447632;;;
Total;2419.8379418849945;;;
